### START OF SIDE LOADING POSSIBLE HIJACK LIST - FORMAT (dllname, binary file)
(drvstore.dll,C:\Windows\System32\securityhealthservice.exe)
(dsclient.dll,C:\Windows\System32\dmcfghost.exe)
(dsclient.dll,C:\Windows\System32\dmomacpmo.exe)
(dsclient.dll,C:\Windows\System32\dstokenclean.exe)
(dsparse.dll,C:\Windows\System32\dmcertinst.exe)
(dsreg.dll,C:\Windows\System32\bitlockerdeviceencryption.exe)
(dsreg.dll,C:\Windows\System32\dsregcmd.exe)
(dsrole.dll,C:\Windows\System32\certutil.exe)
(dsrole.dll,C:\Windows\System32\cipher.exe)
(dsrole.dll,C:\Windows\System32\efsui.exe)
(dsrole.dll,C:\Windows\System32\net1.exe)
(dsrole.dll,C:\Windows\System32\netplwiz.exe)
(dsrole.dll,C:\Windows\System32\rekeywiz.exe)
(dsrole.dll,C:\Windows\System32\systempropertiesadvanced.exe)
(dsrole.dll,C:\Windows\System32\winrs.exe)
(dsrole.dll,C:\Windows\System32\wsmanhttpconfig.exe)
(dsrole.dll,C:\Windows\System32\wsmprovhost.exe)
(dui70.dll,C:\Windows\System32\bdeunlock.exe)
(dui70.dll,C:\Windows\System32\certreq.exe)
(dui70.dll,C:\Windows\System32\dmnotificationbroker.exe)
(dui70.dll,C:\Windows\System32\dpapimig.exe)
(dui70.dll,C:\Windows\System32\licensingui.exe)
(dui70.dll,C:\Windows\System32\optionalfeatures.exe)
(dui70.dll,C:\Windows\System32\osk.exe)
(dui70.dll,C:\Windows\System32\passwordonwakesettingflyout.exe)
(dui70.dll,C:\Windows\System32\phoneactivate.exe)
(dui70.dll,C:\Windows\System32\proximityuxhost.exe)
(dui70.dll,C:\Windows\System32\sessionmsg.exe)
(dui70.dll,C:\Windows\System32\sethc.exe)
(dui70.dll,C:\Windows\System32\sysreseterr.exe)
(dui70.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(dui70.dll,C:\Windows\System32\systemsettingsremovedevice.exe)
(dui70.dll,C:\Windows\System32\utilman.exe)
(dui70.dll,C:\Windows\System32\windowsactiondialog.exe)
(dui70.dll,C:\Windows\System32\wlrmdr.exe)
(duser.dll,C:\Windows\System32\bdeunlock.exe)
(duser.dll,C:\Windows\System32\displayswitch.exe)
(duser.dll,C:\Windows\System32\easeofaccessdialog.exe)
(duser.dll,C:\Windows\System32\lockscreencontentserver.exe)
(duser.dll,C:\Windows\System32\mmc.exe)
(duser.dll,C:\Windows\System32\msdt.exe)
(duser.dll,C:\Windows\System32\osk.exe)
(duser.dll,C:\Windows\System32\rekeywiz.exe)
(duser.dll,C:\Windows\System32\sessionmsg.exe)
(duser.dll,C:\Windows\System32\taskmgr.exe)
(duser.dll,C:\Windows\System32\utilman.exe)
(dusmapi.dll,C:\Windows\System32\datausagelivetiletask.exe)
(dwmapi.dll,C:\Windows\System32\certreq.exe)
(dwmapi.dll,C:\Windows\System32\devicepairingwizard.exe)
(dwmapi.dll,C:\Windows\System32\displayswitch.exe)
(dwmapi.dll,C:\Windows\System32\dxpserver.exe)
(dwmapi.dll,C:\Windows\System32\fsquirt.exe)
(dwmapi.dll,C:\Windows\System32\gamepanel.exe)
(dwmapi.dll,C:\Windows\System32\lockscreencontentserver.exe)
(dwmapi.dll,C:\Windows\System32\mblctr.exe)
(dwmapi.dll,C:\Windows\System32\osk.exe)
(dwmapi.dll,C:\Windows\System32\proximityuxhost.exe)
(dwmapi.dll,C:\Windows\System32\rdpclip.exe)
(dwmapi.dll,C:\Windows\System32\rdpshell.exe)
(dwmapi.dll,C:\Windows\System32\sndvol.exe)
(dwmapi.dll,C:\Windows\System32\snippingtool.exe)
(dwmapi.dll,C:\Windows\System32\wmpdmc.exe)
(dwmcore.dll,C:\Windows\System32\dwm.exe)
(dwrite.dll,C:\Windows\System32\cttune.exe)
(dwrite.dll,C:\Windows\System32\dataexchangehost.exe)
(dwrite.dll,C:\Windows\System32\gamepanel.exe)
(dxcore.dll,C:\Windows\System32\taskmgr.exe)
(dxgi.dll,C:\Windows\System32\applicationframehost.exe)
(dxgi.dll,C:\Windows\System32\dataexchangehost.exe)
(dxgi.dll,C:\Windows\System32\dwm.exe)
(dxgi.dll,C:\Windows\System32\dxgiadaptercache.exe)
(dxgi.dll,C:\Windows\System32\gamepanel.exe)
(dxgi.dll,C:\Windows\System32\mdeserver.exe)
(dxgi.dll,C:\Windows\System32\quickassist.exe)
(dxgi.dll,C:\Windows\System32\systemreset.exe)
(dxgi.dll,C:\Windows\System32\taskmgr.exe)
(dxgi.dll,C:\Windows\System32\vsgraphicsremoteengine.exe)
(dxgi.dll,C:\Windows\System32\winsat.exe)
(dxva2.dll,C:\Windows\System32\dccw.exe)
(dxva2.dll,C:\Windows\System32\dispdiag.exe)
(dynamoapi.dll,C:\Windows\System32\mdmdiagnosticstool.exe)
(eappcfg.dll,C:\Windows\System32\netsh.exe)
(eappprxy.dll,C:\Windows\System32\netsh.exe)
(edgeiso.dll,C:\Windows\System32\microsoftedgebchost.exe)
(edgeiso.dll,C:\Windows\System32\microsoftedgecp.exe)
(edgeiso.dll,C:\Windows\System32\microsoftedgedevtools.exe)
(edgeiso.dll,C:\Windows\System32\microsoftedgesh.exe)
(edputil.dll,C:\Windows\System32\calc.exe)
(edputil.dll,C:\Windows\System32\compmgmtlauncher.exe)
(edputil.dll,C:\Windows\System32\computerdefaults.exe)
(edputil.dll,C:\Windows\System32\dpiscaling.exe)
(edputil.dll,C:\Windows\System32\fodhelper.exe)
(edputil.dll,C:\Windows\System32\mobsync.exe)
(edputil.dll,C:\Windows\System32\resmon.exe)
(edputil.dll,C:\Windows\System32\sdclt.exe)
(edputil.dll,C:\Windows\System32\slui.exe)
(edputil.dll,C:\Windows\System32\workfolders.exe)
(edputil.dll,C:\Windows\System32\write.exe)
(efsadu.dll,C:\Windows\System32\efsui.exe)
(efsadu.dll,C:\Windows\System32\rekeywiz.exe)
(efsutil.dll,C:\Windows\System32\cipher.exe)
(efsutil.dll,C:\Windows\System32\efsui.exe)
(efsutil.dll,C:\Windows\System32\rekeywiz.exe)
(esent.dll,C:\Windows\System32\esentutl.exe)
(esent.dll,C:\Windows\System32\tieringengineservice.exe)
(faultrep.dll,C:\Windows\System32\werfault.exe)
(faultrep.dll,C:\Windows\System32\werfaultsecure.exe)
(feclient.dll,C:\Windows\System32\cipher.exe)
(feclient.dll,C:\Windows\System32\efsui.exe)
(feclient.dll,C:\Windows\System32\rekeywiz.exe)
(fhsvcctl.dll,C:\Windows\System32\fhmanagew.exe)
(firewallapi.dll,C:\Windows\System32\checknetisolation.exe)
(firewallapi.dll,C:\Windows\System32\edpcleanup.exe)
(firewallapi.dll,C:\Windows\System32\lpremove.exe)
(firewallapi.dll,C:\Windows\System32\netsh.exe)
(firewallapi.dll,C:\Windows\System32\securityhealthservice.exe)
(firewallapi.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(fltlib.dll,C:\Windows\System32\agentservice.exe)
(fltlib.dll,C:\Windows\System32\bootim.exe)
(fltlib.dll,C:\Windows\System32\compmgmtlauncher.exe)
(fltlib.dll,C:\Windows\System32\dpiscaling.exe)
(fltlib.dll,C:\Windows\System32\fltmc.exe)
(fltlib.dll,C:\Windows\System32\psr.exe)
(fltlib.dll,C:\Windows\System32\resmon.exe)
(fltlib.dll,C:\Windows\System32\sdclt.exe)
(fltlib.dll,C:\Windows\System32\slui.exe)
(fltlib.dll,C:\Windows\System32\vssvc.exe)
(fltlib.dll,C:\Windows\System32\wbengine.exe)
(fltlib.dll,C:\Windows\System32\workfolders.exe)
(fltlib.dll,C:\Windows\System32\write.exe)
(framedynos.dll,C:\Windows\System32\driverquery.exe)
(framedynos.dll,C:\Windows\System32\getmac.exe)
(framedynos.dll,C:\Windows\System32\openfiles.exe)
(framedynos.dll,C:\Windows\System32\taskkill.exe)
(fveapi.dll,C:\Windows\System32\baaupdate.exe)
(fveapi.dll,C:\Windows\System32\bdechangepin.exe)
(fveapi.dll,C:\Windows\System32\fvenotify.exe)
